# RBER, SIGMA, SIGMA1, SIGMA2, CAPACITY, T0, LLR0, LLR1
6.179500000000000270e-02 1.344670339586151009e+00 9.412692377103056840e-01 4.034011018758452694e-01 0.000000000000000000e+00 2.498695917403822575e-01 3.361860160855821178e+00 -2.352756992154112936e+00
6.328999999999999904e-02 1.356116578932017536e+00 9.492816052524122306e-01 4.068349736796052496e-01 0.000000000000000000e+00 2.474657565488236066e-01 3.337362095025074193e+00 -2.327470112222440601e+00
6.478499999999999537e-02 1.367550988709162585e+00 9.572856920964137872e-01 4.102652966127487422e-01 0.000000000000000000e+00 2.450489109560023970e-01 3.313410552444719048e+00 -2.302746121991718464e+00
6.628000000000000558e-02 1.378977213400357060e+00 9.652840493802499200e-01 4.136931640201070848e-01 0.000000000000000000e+00 2.426184182184041860e-01 3.289980507799532994e+00 -2.278559380470178031e+00
6.777500000000000191e-02 1.390398734495053024e+00 9.732791141465370055e-01 4.171196203485159071e-01 0.000000000000000000e+00 2.401736563888616782e-01 3.267048614059143929e+00 -2.254885962026992985e+00
6.926999999999999824e-02 1.401818885156696171e+00 9.812732196096872750e-01 4.205456655470088401e-01 0.000000000000000000e+00 2.377140165412090500e-01 3.244593055815170324e+00 -2.231703506749305177e+00
7.076499999999999457e-02 1.413240863442160267e+00 9.892686044095121423e-01 4.239722590326480689e-01 0.000000000000000000e+00 2.352389011576739852e-01 3.222593418293418832e+00 -2.208991086773085311e+00
7.226000000000000478e-02 1.424667744248426127e+00 9.972674209738981999e-01 4.274003232745278158e-01 0.000000000000000000e+00 2.327477226590687620e-01 3.201030570073158277e+00 -2.186729086584195958e+00
7.375500000000000111e-02 1.436102490137456389e+00 1.005271743096219472e+00 4.308307470412369167e-01 0.000000000000000000e+00 2.302399020605652158e-01 3.179886557827739768e+00 -2.164899095573241894e+00
7.524999999999999745e-02 1.447547961169818542e+00 1.013283572818872935e+00 4.342643883509455516e-01 0.000000000000000000e+00 2.277148677381369002e-01 3.159144511637884900e+00 -2.143483811368952274e+00
