# RBER, SIGMA, SIGMA1, SIGMA2, CAPACITY, T0, T1, T2, LLR0, LLR1, LLR2, LLR3
1.141199999999999992e-01 1.659881977265629915e+00 8.299409886328149577e-01 8.299409886328149577e-01 5.809873190906624796e-01 -6.899999999999999467e-01 0.000000000000000000e+00 6.899999999999999467e-01 3.432345464313395933e+00 9.463396121868823396e-01 -9.463396121868825617e-01 -3.432345464313393268e+00
1.156149999999999956e-01 1.670569628733917567e+00 8.352848143669587833e-01 8.352848143669587833e-01 5.764955843448462680e-01 -6.899999999999999467e-01 0.000000000000000000e+00 6.899999999999999467e-01 3.399706082743779501e+00 9.349282214555079129e-01 -9.349282214555075798e-01 -3.399706082743780389e+00
1.171100000000000058e-01 1.681296168823459558e+00 8.406480844117297790e-01 8.406480844117297790e-01 5.720254159006394890e-01 -6.974999999999998979e-01 0.000000000000000000e+00 6.974999999999998979e-01 3.383614229633355119e+00 9.326010614332194137e-01 -9.326010614332184145e-01 -3.383614229633357340e+00
1.186050000000000021e-01 1.692062887604299126e+00 8.460314438021495631e-01 8.460314438021495631e-01 5.675733121373096601e-01 -7.049999999999999600e-01 0.000000000000000000e+00 7.049999999999999600e-01 3.367552246329614363e+00 9.302099126234920634e-01 -9.302099126234912863e-01 -3.367552246329616139e+00
1.200999999999999984e-01 1.702871067879807132e+00 8.514355339399035660e-01 8.514355339399035660e-01 5.631392858818593528e-01 -7.124999999999999112e-01 0.000000000000000000e+00 7.124999999999999112e-01 3.351517970000468694e+00 9.277561142588501841e-01 -9.277561142588504062e-01 -3.351517970000468249e+00
1.215950000000000086e-01 1.713721986290176247e+00 8.568609931450881234e-01 8.568609931450881234e-01 5.587255353602096353e-01 -7.124999999999999112e-01 0.000000000000000000e+00 7.124999999999999112e-01 3.319963202011043890e+00 9.166931639441923130e-01 -9.166931639441920909e-01 -3.319963202011043446e+00
1.230900000000000050e-01 1.724616914370821208e+00 8.623084571854106040e-01 8.623084571854106040e-01 5.543313775549620903e-01 -7.199999999999999734e-01 0.000000000000000000e+00 7.199999999999999734e-01 3.304159555388070046e+00 9.142386694958603011e-01 -9.142386694958598570e-01 -3.304159555388070491e+00
1.245850000000000013e-01 1.735557119569339779e+00 8.677785597846698895e-01 8.677785597846698895e-01 5.499551601667795886e-01 -7.274999999999999245e-01 0.000000000000000000e+00 7.274999999999999245e-01 3.288375631346127204e+00 9.117232774752066504e-01 -9.117232774752073166e-01 -3.288375631346125871e+00
1.260799999999999976e-01 1.746543866224418151e+00 8.732719331122090756e-01 8.732719331122090756e-01 5.455968971463498463e-01 -7.349999999999998757e-01 0.000000000000000000e+00 7.349999999999998757e-01 3.272609783226434033e+00 9.091482744139339767e-01 -9.091482744139337546e-01 -3.272609783226433589e+00
1.275749999999999940e-01 1.757578416509787855e+00 8.787892082548939277e-01 8.787892082548939277e-01 5.412593110947370167e-01 -7.349999999999998757e-01 0.000000000000000000e+00 7.349999999999998757e-01 3.242048957888101768e+00 8.984070394020854389e-01 -8.984070394020847727e-01 -3.242048957888103544e+00
1.290699999999999903e-01 1.768662031346152741e+00 8.843310156730763705e-01 8.843310156730763705e-01 5.369402592059080437e-01 -7.424999999999999378e-01 0.000000000000000000e+00 7.424999999999999378e-01 3.226486761153290583e+00 8.958296046588700712e-01 -8.958296046588702932e-01 -3.226486761153290139e+00
1.305650000000000144e-01 1.779795971283766765e+00 8.898979856418833823e-01 8.898979856418833823e-01 5.326390372656044647e-01 -7.499999999999998890e-01 0.000000000000000000e+00 7.499999999999998890e-01 3.210936235345129397e+00 8.931943444097264484e-01 -8.931943444097257823e-01 -3.210936235345131617e+00
1.320600000000000107e-01 1.790981497358170582e+00 8.954907486790852911e-01 8.954907486790852911e-01 5.283556590433222677e-01 -7.574999999999999512e-01 0.000000000000000000e+00 7.574999999999999512e-01 3.195396145234230989e+00 8.905024886333646750e-01 -8.905024886333641199e-01 -3.195396145234233209e+00
1.335550000000000070e-01 1.802219871921417083e+00 9.011099359607085413e-01 9.011099359607085413e-01 5.240925730183478848e-01 -7.574999999999999512e-01 0.000000000000000000e+00 7.574999999999999512e-01 3.165751158462609016e+00 8.800598184891974540e-01 -8.800598184891976761e-01 -3.165751158462607240e+00
1.350500000000000034e-01 1.813512359450978995e+00 9.067561797254894973e-01 9.067561797254894973e-01 5.198477997364518988e-01 -7.649999999999999023e-01 0.000000000000000000e+00 7.649999999999999023e-01 3.150392185824218316e+00 8.773644266504008193e-01 -8.773644266504004863e-01 -3.150392185824219204e+00
1.365449999999999997e-01 1.824860227338342744e+00 9.124301136691713721e-01 9.124301136691713721e-01 5.156207550488303148e-01 -7.724999999999999645e-01 0.000000000000000000e+00 7.724999999999999645e-01 3.135038520376329352e+00 8.746142263174949694e-01 -8.746142263174949694e-01 -3.135038520376329796e+00
1.380399999999999960e-01 1.836264746659241887e+00 9.181323733296209433e-01 9.181323733296209433e-01 5.114114516328258642e-01 -7.799999999999999156e-01 0.000000000000000000e+00 7.799999999999999156e-01 3.119689257352839196e+00 8.718103895673524617e-01 -8.718103895673526837e-01 -3.119689257352837863e+00
